timestamp,operation,duration_ms
2026-01-13T13:50:59.599049,get_product,0.53
2026-01-13T14:08:34.556459,get_product,5.87
2026-01-13T14:08:34.559708,get_price_by_category,0.3
2026-01-13T14:08:40.686682,get_product,0.17
2026-01-13T14:08:40.687290,get_price_by_category,0.11
2026-01-13T14:10:21.717809,get_product,0.25
2026-01-13T14:10:21.718364,get_price_by_category,0.1
2026-01-13T14:10:30.222920,get_product,0.13
2026-01-13T14:10:30.223348,get_price_by_category,0.08
2026-01-13T14:17:37.674527,get_product,2.41
2026-01-13T14:17:37.678545,get_price_by_category,0.12
2026-01-13T14:17:41.916777,get_product,0.19
2026-01-13T14:17:41.917383,get_price_by_category,0.12
2026-01-13T14:26:04.203803,get_product,6.02
2026-01-13T14:26:04.206819,get_price_by_category,0.13
2026-01-13T14:26:06.027325,get_product,0.19
2026-01-13T14:26:06.027879,get_price_by_category,0.03
2026-01-13T14:38:11.955871,get_product,0.68
2026-01-13T14:38:11.958359,get_price_by_category,0.26
2026-01-13T14:38:14.907926,get_product,0.23
2026-01-13T14:38:14.908616,get_price_by_category,0.06
2026-01-14T15:00:21.893150,get_product,2.55
2026-01-14T15:00:21.896935,get_price_by_category,0.39
2026-01-14T15:00:34.362980,get_product,0.22
2026-01-14T15:00:34.364062,get_price_by_category,0.06
